epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7911,1.03928,1.75065,0.99627,0.91729,0.61737,0.85037,0.60487,0.96834,2.52035,0.93161,0.000660714,0.000660714,0.000660714
2,24.4507,1.00527,1.08144,0.99497,0.88487,0.88668,0.9202,0.67058,1.00488,1.11433,1.01026,0.00131424,0.00131424,0.00131424
3,33.9881,1.01123,0.92613,0.99212,0.87966,0.95825,0.94085,0.71649,0.8861,0.8677,0.94501,0.00195457,0.00195457,0.00195457
4,43.5539,1.00264,0.77855,0.9967,0.90656,0.96441,0.94402,0.70973,0.89341,0.68395,0.94522,0.0019406,0.0019406,0.0019406
5,53.0224,0.97414,0.70377,0.9837,0.91817,0.98155,0.9524,0.71451,0.89365,0.58378,0.93964,0.0019208,0.0019208,0.0019208
6,63.1972,0.94792,0.66628,0.97339,0.92968,0.97217,0.95773,0.73733,0.86655,0.55611,0.92883,0.001901,0.001901,0.001901
7,73.5316,0.92027,0.63267,0.96324,0.93177,0.97746,0.95521,0.74311,0.86263,0.56611,0.93714,0.0018812,0.0018812,0.0018812
8,83.7762,0.92495,0.60543,0.95657,0.93964,0.98211,0.96184,0.72874,0.87788,0.55622,0.92661,0.0018614,0.0018614,0.0018614
9,94.1527,0.91054,0.60025,0.9678,0.94045,0.97329,0.95919,0.74004,0.86198,0.51522,0.92723,0.0018416,0.0018416,0.0018416
10,103.998,0.89139,0.57401,0.95376,0.95699,0.97313,0.96683,0.75626,0.82891,0.54943,0.92187,0.0018218,0.0018218,0.0018218
11,113.486,0.88529,0.56337,0.95584,0.9447,0.97614,0.96059,0.74117,0.88921,0.49129,0.93228,0.001802,0.001802,0.001802
12,123.025,0.88404,0.54966,0.95026,0.92764,0.99006,0.96255,0.74757,0.87898,0.49299,0.93142,0.0017822,0.0017822,0.0017822
13,132.895,0.87813,0.54847,0.94762,0.92818,0.99205,0.96066,0.76395,0.8278,0.46352,0.91532,0.0017624,0.0017624,0.0017624
14,143.074,0.86928,0.54991,0.95285,0.94875,0.99362,0.96501,0.75196,0.85708,0.45744,0.9246,0.0017426,0.0017426,0.0017426
15,152.538,0.86294,0.5248,0.94424,0.96069,0.99006,0.96793,0.77473,0.81381,0.43808,0.9138,0.0017228,0.0017228,0.0017228
16,161.959,0.85634,0.52286,0.94797,0.95568,0.98593,0.9657,0.76908,0.7935,0.45785,0.90703,0.001703,0.001703,0.001703
17,171.31,0.85249,0.51303,0.93629,0.96012,0.98211,0.96233,0.77418,0.82796,0.45306,0.91785,0.0016832,0.0016832,0.0016832
18,180.087,0.84524,0.5035,0.93495,0.95947,0.98835,0.97581,0.75556,0.84297,0.44149,0.92543,0.0016634,0.0016634,0.0016634
19,189.034,0.83557,0.49467,0.93269,0.95848,0.99006,0.96792,0.76301,0.80085,0.44864,0.90796,0.0016436,0.0016436,0.0016436
20,197.926,0.82296,0.49237,0.93554,0.94642,0.99205,0.96773,0.76401,0.80384,0.4392,0.90584,0.0016238,0.0016238,0.0016238
21,206.828,0.84636,0.50758,0.93409,0.9594,0.98656,0.97534,0.7642,0.80474,0.42047,0.90528,0.001604,0.001604,0.001604
22,215.671,0.81832,0.49098,0.936,0.95582,0.99404,0.97032,0.73145,0.95835,0.46968,0.9528,0.0015842,0.0015842,0.0015842
23,224.46,0.85089,0.48659,0.93648,0.95768,0.98987,0.97655,0.78792,0.79512,0.41068,0.90372,0.0015644,0.0015644,0.0015644
24,233.378,0.83934,0.48665,0.93849,0.95415,0.99294,0.97342,0.79348,0.8008,0.41115,0.90392,0.0015446,0.0015446,0.0015446
25,242.228,0.81449,0.47154,0.91664,0.95441,0.98807,0.96909,0.78573,0.79649,0.4202,0.90162,0.0015248,0.0015248,0.0015248
26,251.157,0.82965,0.4804,0.92976,0.95659,0.98807,0.96597,0.77647,0.81103,0.41495,0.90779,0.001505,0.001505,0.001505
27,260.067,0.8062,0.47049,0.92075,0.95934,0.98807,0.96989,0.77435,0.78509,0.41887,0.90035,0.0014852,0.0014852,0.0014852
28,269.006,0.80675,0.46913,0.9237,0.95712,0.98608,0.96508,0.77361,0.77731,0.42513,0.90272,0.0014654,0.0014654,0.0014654
29,277.964,0.81163,0.46014,0.92101,0.95899,0.99006,0.96852,0.78736,0.80401,0.40572,0.91003,0.0014456,0.0014456,0.0014456
30,286.907,0.79763,0.45269,0.93033,0.95765,0.98911,0.97586,0.77831,0.8067,0.40498,0.90517,0.0014258,0.0014258,0.0014258
31,295.965,0.81133,0.4641,0.92386,0.95942,0.99006,0.97118,0.78577,0.81211,0.40107,0.91,0.001406,0.001406,0.001406
32,304.908,0.79285,0.4544,0.92007,0.95718,0.99205,0.96692,0.78572,0.7886,0.40737,0.90132,0.0013862,0.0013862,0.0013862
33,313.791,0.79971,0.44609,0.92181,0.95626,0.98807,0.96324,0.78017,0.78659,0.40197,0.89768,0.0013664,0.0013664,0.0013664
34,322.619,0.80225,0.4543,0.92279,0.95584,0.99006,0.96839,0.79299,0.7742,0.39633,0.89684,0.0013466,0.0013466,0.0013466
35,331.65,0.78374,0.44634,0.91352,0.95944,0.98807,0.96872,0.78523,0.7855,0.38625,0.90033,0.0013268,0.0013268,0.0013268
36,340.471,0.79215,0.44243,0.9145,0.95566,0.98807,0.97316,0.77873,0.79072,0.42586,0.90301,0.001307,0.001307,0.001307
37,349.328,0.78472,0.44464,0.91717,0.95235,0.99328,0.97434,0.79305,0.80074,0.39451,0.90178,0.0012872,0.0012872,0.0012872
38,358.2,0.80213,0.45329,0.92356,0.95843,0.98807,0.96572,0.79484,0.78287,0.39068,0.8954,0.0012674,0.0012674,0.0012674
39,367.046,0.76766,0.43966,0.91672,0.95951,0.99006,0.97068,0.77433,0.78875,0.40057,0.90581,0.0012476,0.0012476,0.0012476
40,375.916,0.76379,0.43044,0.91616,0.95548,0.99404,0.96781,0.79305,0.77581,0.38382,0.89833,0.0012278,0.0012278,0.0012278
41,384.724,0.77745,0.44347,0.91784,0.9571,0.98807,0.97018,0.78969,0.77687,0.39052,0.89534,0.001208,0.001208,0.001208
42,393.543,0.77774,0.43214,0.91384,0.9586,0.98807,0.97149,0.7961,0.77557,0.38881,0.90145,0.0011882,0.0011882,0.0011882
43,402.424,0.77948,0.43731,0.91179,0.95194,0.99404,0.97217,0.80417,0.76775,0.37768,0.89821,0.0011684,0.0011684,0.0011684
44,411.385,0.76421,0.42897,0.91168,0.96231,0.99006,0.97413,0.80553,0.77762,0.38851,0.89569,0.0011486,0.0011486,0.0011486
45,420.391,0.77473,0.43537,0.91074,0.95646,0.98807,0.97193,0.79247,0.77166,0.38954,0.89404,0.0011288,0.0011288,0.0011288
46,429.258,0.77032,0.42887,0.9114,0.95598,0.99292,0.96915,0.79663,0.7562,0.37327,0.89133,0.001109,0.001109,0.001109
47,438.162,0.75988,0.41923,0.90807,0.96288,0.98608,0.97316,0.80027,0.76664,0.37437,0.89347,0.0010892,0.0010892,0.0010892
48,447.08,0.74562,0.41826,0.90658,0.95931,0.99006,0.96596,0.79172,0.76149,0.37885,0.88967,0.0010694,0.0010694,0.0010694
49,455.949,0.76569,0.42493,0.90674,0.95889,0.98608,0.97026,0.78793,0.76711,0.38143,0.89532,0.0010496,0.0010496,0.0010496
50,465.014,0.77154,0.4234,0.90616,0.95594,0.9921,0.96909,0.8022,0.77066,0.38049,0.89213,0.0010298,0.0010298,0.0010298
51,473.915,0.75312,0.41805,0.90931,0.95551,0.99602,0.96707,0.79469,0.76372,0.38,0.89024,0.00101,0.00101,0.00101
52,482.898,0.77081,0.41669,0.91656,0.95753,0.99205,0.97038,0.77807,0.78757,0.37935,0.89724,0.0009902,0.0009902,0.0009902
53,491.804,0.75036,0.41054,0.90008,0.9595,0.99205,0.9736,0.81497,0.76044,0.36884,0.891,0.0009704,0.0009704,0.0009704
54,500.628,0.75636,0.41675,0.90718,0.95738,0.99006,0.9723,0.80737,0.7568,0.37198,0.88981,0.0009506,0.0009506,0.0009506
55,509.543,0.74895,0.41007,0.90306,0.96135,0.98903,0.97487,0.80798,0.76083,0.36423,0.89188,0.0009308,0.0009308,0.0009308
56,518.474,0.74921,0.41309,0.90529,0.96232,0.98608,0.96998,0.79867,0.7646,0.36412,0.89385,0.000911,0.000911,0.000911
57,527.918,0.753,0.40641,0.90364,0.96056,0.98608,0.97196,0.80543,0.7527,0.36503,0.88783,0.0008912,0.0008912,0.0008912
58,537.298,0.7477,0.40038,0.90583,0.95586,0.99027,0.97378,0.79253,0.76721,0.36847,0.89143,0.0008714,0.0008714,0.0008714
59,546.861,0.74266,0.40476,0.90165,0.95782,0.99317,0.9734,0.80379,0.76335,0.36852,0.88794,0.0008516,0.0008516,0.0008516
60,556.378,0.75119,0.41424,0.90218,0.95723,0.99006,0.97104,0.78784,0.76647,0.36488,0.88961,0.0008318,0.0008318,0.0008318
61,565.886,0.74771,0.39662,0.89719,0.95271,0.99404,0.97146,0.80909,0.76273,0.3659,0.88956,0.000812,0.000812,0.000812
62,575.231,0.73093,0.40343,0.8959,0.95601,0.99205,0.97419,0.81137,0.76224,0.36464,0.88846,0.0007922,0.0007922,0.0007922
63,584.693,0.73587,0.40129,0.90125,0.95751,0.99404,0.97115,0.80482,0.77672,0.36281,0.88818,0.0007724,0.0007724,0.0007724
64,594.042,0.72602,0.38633,0.89483,0.9552,0.99205,0.97305,0.79889,0.75677,0.36089,0.88555,0.0007526,0.0007526,0.0007526
65,603.364,0.73985,0.39282,0.90274,0.96128,0.98719,0.97385,0.81213,0.76327,0.35701,0.88851,0.0007328,0.0007328,0.0007328
66,612.64,0.73612,0.40066,0.89914,0.95211,0.98818,0.97024,0.79893,0.77185,0.36964,0.89011,0.000713,0.000713,0.000713
67,621.895,0.7425,0.39216,0.89913,0.95761,0.98802,0.97616,0.80605,0.76522,0.35795,0.88717,0.0006932,0.0006932,0.0006932
68,631.267,0.74262,0.39513,0.90017,0.95441,0.99404,0.9717,0.79523,0.75805,0.35624,0.88438,0.0006734,0.0006734,0.0006734
69,640.63,0.70613,0.38814,0.88973,0.95935,0.98526,0.97614,0.81379,0.76007,0.35769,0.88492,0.0006536,0.0006536,0.0006536
70,649.872,0.73888,0.3865,0.89871,0.95244,0.9953,0.97331,0.81066,0.75601,0.35366,0.88678,0.0006338,0.0006338,0.0006338
71,659.201,0.71286,0.38071,0.89026,0.95712,0.99404,0.97498,0.80399,0.75538,0.34739,0.88423,0.000614,0.000614,0.000614
72,668.53,0.71366,0.3818,0.89568,0.96068,0.99006,0.97338,0.80024,0.7604,0.353,0.88147,0.0005942,0.0005942,0.0005942
73,677.683,0.71074,0.37689,0.89473,0.95548,0.99205,0.97093,0.81154,0.7497,0.34729,0.8824,0.0005744,0.0005744,0.0005744
74,686.838,0.72977,0.3788,0.8958,0.95937,0.98576,0.97772,0.81468,0.75615,0.35125,0.88235,0.0005546,0.0005546,0.0005546
75,695.977,0.71937,0.38853,0.89122,0.95214,0.98871,0.97537,0.81263,0.75207,0.35543,0.87736,0.0005348,0.0005348,0.0005348
76,705.202,0.70592,0.37974,0.8944,0.95946,0.98805,0.9729,0.81057,0.74833,0.35152,0.87936,0.000515,0.000515,0.000515
77,714.328,0.70875,0.37742,0.89439,0.95784,0.99373,0.97175,0.80472,0.76944,0.34869,0.88396,0.0004952,0.0004952,0.0004952
78,723.4,0.71483,0.37498,0.89106,0.95605,0.99006,0.97349,0.8097,0.75453,0.34803,0.88114,0.0004754,0.0004754,0.0004754
79,732.467,0.70946,0.37284,0.89305,0.95771,0.98012,0.97299,0.81388,0.75331,0.34771,0.88091,0.0004556,0.0004556,0.0004556
80,741.586,0.70994,0.37561,0.89208,0.95496,0.99006,0.97503,0.81908,0.74476,0.3493,0.87872,0.0004358,0.0004358,0.0004358
81,750.723,0.71111,0.37065,0.89247,0.95613,0.99205,0.97512,0.81591,0.75474,0.34661,0.88442,0.000416,0.000416,0.000416
82,759.743,0.69984,0.36596,0.88696,0.95056,0.99404,0.97602,0.81413,0.7547,0.35199,0.88173,0.0003962,0.0003962,0.0003962
83,768.823,0.69638,0.36008,0.88822,0.96686,0.98593,0.97629,0.82199,0.74937,0.3412,0.88532,0.0003764,0.0003764,0.0003764
84,777.948,0.70687,0.37002,0.89342,0.95785,0.99392,0.97869,0.81775,0.75703,0.33329,0.88586,0.0003566,0.0003566,0.0003566
85,787.015,0.68721,0.36056,0.88419,0.9611,0.99205,0.97585,0.81251,0.75618,0.33346,0.88386,0.0003368,0.0003368,0.0003368
86,796.094,0.67545,0.35072,0.87987,0.96678,0.9837,0.97804,0.81918,0.75568,0.33848,0.88037,0.000317,0.000317,0.000317
87,805.257,0.70537,0.36055,0.88829,0.96416,0.99205,0.97839,0.82185,0.7458,0.33015,0.88212,0.0002972,0.0002972,0.0002972
88,814.432,0.67917,0.35307,0.88907,0.96332,0.99195,0.97708,0.82358,0.74635,0.33378,0.88142,0.0002774,0.0002774,0.0002774
89,823.596,0.68922,0.35316,0.88781,0.96153,0.9939,0.97768,0.82095,0.74279,0.33121,0.87894,0.0002576,0.0002576,0.0002576
90,832.734,0.68847,0.35106,0.88708,0.95918,0.99205,0.97322,0.81793,0.75094,0.33733,0.88028,0.0002378,0.0002378,0.0002378
91,856.35,0.71739,0.33716,0.8823,0.95884,0.99404,0.97447,0.80875,0.7528,0.33824,0.88244,0.000218,0.000218,0.000218
92,865.409,0.70762,0.32997,0.88456,0.95968,0.99362,0.97402,0.81426,0.74432,0.33902,0.88044,0.0001982,0.0001982,0.0001982
93,874.454,0.70519,0.33196,0.88036,0.96316,0.98766,0.97369,0.81778,0.74899,0.33131,0.87971,0.0001784,0.0001784,0.0001784
94,883.556,0.69486,0.32956,0.87533,0.96119,0.98466,0.97408,0.81874,0.74009,0.34137,0.87685,0.0001586,0.0001586,0.0001586
95,892.54,0.6917,0.32562,0.87853,0.96085,0.99006,0.97239,0.81824,0.73683,0.33459,0.87747,0.0001388,0.0001388,0.0001388
96,901.518,0.69571,0.32444,0.87859,0.95053,0.99312,0.97336,0.81901,0.74415,0.34014,0.87976,0.000119,0.000119,0.000119
97,910.451,0.69936,0.32394,0.88172,0.96029,0.98608,0.97399,0.81785,0.75006,0.33598,0.88071,9.92e-05,9.92e-05,9.92e-05
98,919.317,0.69835,0.32316,0.87392,0.95869,0.99205,0.97415,0.82183,0.7397,0.33241,0.87902,7.94e-05,7.94e-05,7.94e-05
99,928.289,0.68988,0.32142,0.87549,0.9532,0.99205,0.97403,0.82312,0.73699,0.3325,0.8779,5.96e-05,5.96e-05,5.96e-05
100,937.34,0.68904,0.31633,0.8736,0.96072,0.98608,0.97407,0.82468,0.73549,0.32913,0.87833,3.98e-05,3.98e-05,3.98e-05
